productName,imageFilename
Sweet Corn (Chicken),sweet-corn-chicken.jpg
Sweet Corn (Veg),sweet-corn-veg.jpg
Talumein (Chicken),talumein-chicken.jpg
Talumein (Veg),talumein-veg.jpg
Thukpa (Chicken),thukpa-chicken.jpg
Thukpa (Veg),thukpa-veg.jpg
Wanton Soup (Chicken),wanton-soup-chicken.jpg
Wanton Soup (Veg),wanton-soup-veg.jpg
Barbeque Papery Paneer,barbeque-papery-paneer.jpg
Chicken Dragon Roll,chicken-dragon-roll.jpg
Chicken Popcorn,chicken-popcorn.jpg
Crispy Corn Salt & Pepper,crispy-corn-salt-pepper.jpg
MMC Special Lat Mai Kai Chicken,mmc-special-lat-mai-kai-chicken.jpg
Taiwan Special Chilli Mushroom & Baby Corn,taiwan-special-chilli-mushroom-baby-corn.jpg
Cheese Corn Momos (Chilli),cheese-corn-momos-chilli.jpg
Cheese Corn Momos (Crispy),cheese-corn-momos-crispy.jpg
Cheese Corn Momos (Oyster),cheese-corn-momos-oyster.jpg
Cheese Corn Momos (Pan Fried),cheese-corn-momos-pan-fried.jpg
Cheese Corn Momos (Pizza),cheese-corn-momos-pizza.jpg
Cheese Corn Momos (Schezwan),cheese-corn-momos-schezwan.jpg
Chicken Momos (Cheese),chicken-momos-cheese.jpg
Chicken Momos (Chilli),chicken-momos-chilli.jpg
Chicken Momos (Crispy),chicken-momos-crispy.jpg
Chicken Momos (Oyster),chicken-momos-oyster.jpg
Chicken Momos (Pan Fried),chicken-momos-pan-fried.jpg
Chicken Momos (Pizza),chicken-momos-pizza.jpg
Chicken Momos (Schezwan),chicken-momos-schezwan.jpg
Paneer Momos (Cheese),paneer-momos-cheese.jpg
Paneer Momos (Chilli),paneer-momos-chilli.jpg
Paneer Momos (Crispy),paneer-momos-crispy.jpg
Paneer Momos (Oyster),paneer-momos-oyster.jpg
Paneer Momos (Pan Fried),paneer-momos-pan-fried.jpg
Paneer Momos (Pizza),paneer-momos-pizza.jpg
Paneer Momos (Schezwan),paneer-momos-schezwan.jpg
Veg Momos (Cheese),veg-momos-cheese.jpg
Veg Momos (Chilli),veg-momos-chilli.jpg
Veg Momos (Crispy),veg-momos-crispy.jpg
Veg Momos (Oyster),veg-momos-oyster.jpg
Veg Momos (Pan Fried),veg-momos-pan-fried.jpg
Veg Momos (Pizza),veg-momos-pizza.jpg
Veg Momos (Schezwan),veg-momos-schezwan.jpg
Cheese Corn Tandoori Momos (Achari),cheese-corn-tandoori-momos-achari.jpg
Cheese Corn Tandoori Momos (Afghani),cheese-corn-tandoori-momos-afghani.jpg
Cheese Corn Tandoori Momos (Cocktail),cheese-corn-tandoori-momos-cocktail.jpg
Cheese Corn Tandoori Momos (Dry),cheese-corn-tandoori-momos-dry.jpg
Cheese Corn Tandoori Momos (Kadhal),cheese-corn-tandoori-momos-kadhal.jpg
Chicken Tandoori Momos (Achari),chicken-tandoori-momos-achari.jpg
Chicken Tandoori Momos (Afghani),chicken-tandoori-momos-afghani.jpg
Chicken Tandoori Momos (Cocktail),chicken-tandoori-momos-cocktail.jpg
Chicken Tandoori Momos (Dry),chicken-tandoori-momos-dry.jpg
Chicken Tandoori Momos (Kadhal),chicken-tandoori-momos-kadhal.jpg
Paneer Tandoori Momos (Achari),paneer-tandoori-momos-achari.jpg
Paneer Tandoori Momos (Afghani),paneer-tandoori-momos-afghani.jpg
Paneer Tandoori Momos (Cocktail),paneer-tandoori-momos-cocktail.jpg
Paneer Tandoori Momos (Dry),paneer-tandoori-momos-dry.jpg
Paneer Tandoori Momos (Kadhal),paneer-tandoori-momos-kadhal.jpg
Veg Tandoori Momos (Achari),veg-tandoori-momos-achari.jpg
Veg Tandoori Momos (Afghani),veg-tandoori-momos-afghani.jpg
Veg Tandoori Momos (Cocktail),veg-tandoori-momos-cocktail.jpg
Veg Tandoori Momos (Dry),veg-tandoori-momos-dry.jpg
Veg Tandoori Momos (Kadhal),veg-tandoori-momos-kadhal.jpg
